time,n_samples,T
0.03555400000186637,500,250
0.03191779999178834,500,250
0.031065999995917082,500,250
0.030365799990249798,500,250
0.03241390000039246,500,250
0.030245699992519803,500,250
0.03159520000917837,500,250
0.032288400005199946,500,250
0.0360618999984581,500,250
0.0343977000011364,500,250
0.03414050000719726,500,250
0.03670149999379646,500,250
0.03491010000288952,500,250
0.03496400000585709,500,250
0.032831699994858354,500,250
0.030626300009316765,500,250
0.03185269999084994,500,250
0.03407100000185892,500,250
0.034437100010109134,500,250
0.03431370000180323,500,250
0.03190849999373313,500,250
0.031579600006807595,500,250
0.03095509999548085,500,250
0.03231029999733437,500,250
0.03282520000357181,500,250
0.03316649999760557,500,250
0.03546210000058636,500,250
0.03022719999717083,500,250
0.03117289999499917,500,250
0.030588800000259653,500,250
0.03128840000135824,500,250
0.02977439999813214,500,250
0.031111200005398132,500,250
0.029113199998391792,500,250
0.028355199989164248,500,250
0.02946779999183491,500,250
0.03313360000902321,500,250
0.03378539999539498,500,250
0.02955580000707414,500,250
0.029628799995407462,500,250
0.031004500007838942,500,250
0.0325715999933891,500,250
0.03115059999981895,500,250
0.03106639999896288,500,250
0.030388099999981932,500,250
0.029593899991596118,500,250
0.02983709999534767,500,250
0.03868880000663921,500,250
0.03308100000140257,500,250
0.031134400007431395,500,250
0.030791999990469776,500,250
0.02950740000233054,500,250
0.030302700004540384,500,250
0.0293556999968132,500,250
0.028692199994111434,500,250
0.02950560000317637,500,250
0.0356850999960443,500,250
0.02826920000370592,500,250
0.028732100006891415,500,250
0.029170399997383356,500,250
0.02945450000697747,500,250
0.028787099989131093,500,250
0.02878449999843724,500,250
0.02888840000377968,500,250
0.029932499994174577,500,250
0.02862040000036359,500,250
0.028883599996333942,500,250
0.028868599998531863,500,250
0.03015140000206884,500,250
0.03011240001069382,500,250
0.0289898000046378,500,250
0.02949060000537429,500,250
0.03192039999703411,500,250
0.03539750000345521,500,250
0.03217480001330841,500,250
0.03248379999422468,500,250
0.03382360000978224,500,250
0.03257039999880362,500,250
0.032437299989396706,500,250
0.032232900004601106,500,250
0.03346910000254866,500,250
0.0328838999994332,500,250
0.029823999997461215,500,250
0.029002099996432662,500,250
0.030065300001297146,500,250
0.030007399996975437,500,250
0.031909199999063276,500,250
0.031217399999150075,500,250
0.03133450000314042,500,250
0.03163860000495333,500,250
0.0313492999994196,500,250
0.03127630001108628,500,250
0.030241300002671778,500,250
0.02897780000057537,500,250
0.029313599996385165,500,250
0.02951290000055451,500,250
0.0296336000028532,500,250
0.030456800013780594,500,250
0.02979559999948833,500,250
0.030651199995190836,500,250
0.030410300008952618,500,250
0.029730900001595728,500,250
0.029327700001886114,500,250
0.035570399995776825,500,250
0.03312770000775345,500,250
0.030239200001233257,500,250
0.030817799997748807,500,250
0.032081199999083765,500,250
0.03237619998981245,500,250
0.031393800003570504,500,250
0.029400200000964105,500,250
0.030225299997255206,500,250
0.030198799999197945,500,250
0.029722599996603094,500,250
0.03374400000029709,500,250
0.032542500004637986,500,250
0.03263119999610353,500,250
0.03345679999620188,500,250
0.030471899997792207,500,250
0.030618499993579462,500,250
0.030746499993256293,500,250
0.029104199988069013,500,250
0.02978830000211019,500,250
0.03135489999840502,500,250
0.03032010000606533,500,250
0.029736300013610162,500,250
0.029095500009134412,500,250
0.029018400004133582,500,250
0.02969199999643024,500,250
0.029002800001762807,500,250
0.028714800006127916,500,250
0.0319385000038892,500,250
0.03137599999899976,500,250
0.030002100000274368,500,250
0.02960480000183452,500,250
0.029046800002106465,500,250
0.032547000009799376,500,250
0.02994639999815263,500,250
0.02959499999997206,500,250
0.029630700009875,500,250
0.029062699992209673,500,250
